name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"47.4219,-121.4217",1990-11-01,34.3,30.2,31.7,29.2,23.6,25.7,28.2,86.8,0,0,0,,,,,9.8,233,1026,67.4,7.1,,,,,1990-11-01T06:49:13,1990-11-01T16:48:37,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1990-11-02,47,28,32,46,22.6,29,25.3,76.5,0,0,0,,,,,8.8,97.9,1028.3,94.9,28.4,,,,,1990-11-02T06:50:44,1990-11-02T16:47:05,0.5,Overcast,Cloudy skies throughout the day.,cloudy,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1990-11-03,45.1,30.7,36.4,42.7,22.2,30.6,32.7,86.4,0.01,100,37.5,"rain,snow",,,,12.7,128.4,1024.5,100,2.6,,,,,1990-11-03T06:52:15,1990-11-03T16:45:35,0.53,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1990-11-04,44.2,33,38,40.7,25.3,31.4,34.3,86.5,0,0,0,,,0.8,,15,243.1,1019.7,87.2,5.6,,,,,1990-11-04T06:53:45,1990-11-04T16:44:06,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1990-11-05,35.2,32,33.3,29.7,24.9,27.3,30.4,89,0,0,0,,,,,8.9,247.3,1024.5,72.1,4.2,,,,,1990-11-05T06:55:16,1990-11-05T16:42:39,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,72793524234,72788324220,72781524237"
"47.4219,-121.4217",1990-11-06,34.2,28.7,31.6,32.3,21.1,26.4,27.5,84.5,0,0,0,,,,,8.3,104.3,1029.2,78,28.3,,,,,1990-11-06T06:56:47,1990-11-06T16:41:13,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,72793524234,72788324220,72781524237"
"47.4219,-121.4217",1990-11-07,37.8,32.1,35.8,31.8,25.9,28.1,32,86,0.008,100,25,"rain,snow",,,,17.8,249.9,1018.8,90.8,4.8,,,,,1990-11-07T06:58:17,1990-11-07T16:39:50,0.67,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow clearing later.,rain,"72793024233,72793524234,72788324220,72781524237"
"47.4219,-121.4217",1990-11-08,50,35.9,39.3,45.1,26.1,31.3,35.4,85.8,0.01,100,16.67,rain,,,,30.7,243.9,1021.5,99,6.2,,,,,1990-11-08T06:59:48,1990-11-08T16:38:28,0.7,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1990-11-09,47.1,42.6,44.7,40.9,33.6,36.9,41.1,87.1,0.173,100,91.67,rain,,,,28,247.1,1016.1,100,4.3,,,,,1990-11-09T07:01:19,1990-11-09T16:37:08,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72793024233,72793524234,72788324220,72781524237"
"47.4219,-121.4217",1990-11-10,48.2,45.5,46.8,42.8,37.3,40,42,83.4,0.023,100,45.83,rain,,,,27.6,250.1,1019,99.3,8.2,,,,,1990-11-10T07:02:49,1990-11-10T16:35:49,0.77,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72793024233,72793524234,72781524237"
