name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"47.4219,-121.4217",2016-11-01,42,37.4,40.4,41.9,36.5,39.4,40,98.6,0.148,100,58.33,rain,0.3,0.4,25.3,6.6,163.5,1013.8,99.5,6.3,38.2,3.3,2,,2016-11-01T07:50:14,2016-11-01T17:47:34,0.07,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"KSEA,KSMP,KBFI,72793494248,KRNT,72781524237"
"47.4219,-121.4217",2016-11-02,57.2,37.7,45.8,57.2,36.1,44.9,44.4,95.1,0.099,100,50,rain,0,0.2,36.9,4.9,70.3,1018.1,94.6,5.8,14.4,1.3,1,,2016-11-02T07:51:44,2016-11-02T17:46:03,0.1,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KSEA,KSMP,KBFI,72793494248,KRNT,72781524237"
"47.4219,-121.4217",2016-11-03,63.9,41.1,50,63.9,40.1,49.6,46,87.3,0.042,100,8.33,rain,0,0,21,5.2,6.1,1024.4,29.4,9.6,97.9,8.6,4,,2016-11-03T07:53:15,2016-11-03T17:44:34,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KSEA,KSMP,KBFI,72793494248,KRNT,72781524237"
"47.4219,-121.4217",2016-11-04,65.1,43.1,53,65.1,39.2,52.4,46.8,81.4,0,0,0,,0,0,41.4,7.3,139.8,1016.9,52.6,8.2,93.5,8.1,4,,2016-11-04T07:54:45,2016-11-04T17:43:06,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KSEA,KBFI,72793494248,KRNT"
"47.4219,-121.4217",2016-11-05,57.4,52.1,55.3,57.4,52.1,55.3,52.8,91.6,0.65,100,75,rain,0,0,23.9,8.3,131.4,1012.1,91.7,7.2,16.8,1.5,1,,2016-11-05T07:56:16,2016-11-05T17:41:40,0.2,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KSEA,KBFI,72793494248,KRNT"
"47.4219,-121.4217",2016-11-06,60.9,49.5,54.2,60.9,47.3,53.8,47.8,80.2,0.076,100,20.83,rain,0,0,22.1,11.4,161.9,1016,79,9.6,64.4,5.8,3,,2016-11-06T06:57:47,2016-11-06T16:40:16,0.24,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KSEA,KBFI,72793494248,KRNT"
"47.4219,-121.4217",2016-11-07,55.8,42.7,48.5,55.8,39.1,46.9,44.8,87.1,0.024,100,25,rain,0,0,28.4,6.6,71.7,1021.6,62.5,9.9,48.8,4.1,2,,2016-11-07T06:59:17,2016-11-07T16:38:53,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KSEA,KSMP,KBFI,72793494248,KRNT,72781524237"
"47.4219,-121.4217",2016-11-08,53.8,39.7,46.2,53.8,36.3,44.3,42.6,87.8,0.005,100,4.17,rain,0,0,49.4,6.9,128.4,1021.7,3.4,9.8,98.7,8.5,4,,2016-11-08T07:00:48,2016-11-08T16:37:32,0.31,Rain,Clear conditions throughout the day with early morning rain.,rain,"KSEA,KSMP,KBFI,72793494248,KRNT,72781524237"
"47.4219,-121.4217",2016-11-09,52.9,43.9,48.4,52.9,42.2,48,45.1,88.8,0.045,100,29.17,rain,0,0,33.3,6.8,196.4,1022.4,40.7,8.9,39.7,3.3,2,,2016-11-09T07:02:18,2016-11-09T16:36:13,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"KSEA,KSMP,KBFI,72793494248,KRNT,72781524237"
"47.4219,-121.4217",2016-11-10,50.6,41.9,45.8,50.6,38.5,43.4,44.6,95.7,0,0,0,,0,0,42.5,7,61.7,1021.8,11.7,9.3,81.1,6.9,3,,2016-11-10T07:03:48,2016-11-10T16:34:57,0.37,Clear,Clear conditions throughout the day.,clear-day,"KSEA,KSMP,KBFI,72793494248,KRNT,72781524237"
