name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"47.4219,-121.4217",1998-11-01,41.4,34.8,37.7,39.7,31,35.3,35.7,92.5,0.055,100,29.17,rain,,,,5.8,210.6,1019.2,89.4,8.7,,,,,1998-11-01T06:49:17,1998-11-01T16:48:33,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72793024233,72788324220,72793524234,72781524237"
"47.4219,-121.4217",1998-11-02,42.4,33.6,37.6,38.2,28.7,33.4,35,90.7,0.006,100,20.83,"rain,snow",,,,10.6,125,1018.9,94.3,7.5,,,,,1998-11-02T06:50:48,1998-11-02T16:47:01,0.45,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow clearing later.,rain,"72793024233,72788324220,72793524234,72781524237"
"47.4219,-121.4217",1998-11-03,39.3,34.4,36.4,33.8,26.6,29.4,35,94.6,0.077,100,33.33,"rain,snow",,,,13.1,92.7,1019.1,95,4.5,,,,,1998-11-03T06:52:18,1998-11-03T16:45:31,0.5,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"72793024233,72793524234,72788324220,72781524237"
"47.4219,-121.4217",1998-11-04,37.8,34.1,36.2,33.2,26.7,30,35.8,98.3,0.375,100,75,"rain,snow",,,,10,100.4,1018.3,100,1.2,,,,,1998-11-04T06:53:49,1998-11-04T16:44:02,0.52,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"72793024233,72793524234,72788324220,72781524237"
"47.4219,-121.4217",1998-11-05,37,31,34.5,35.2,25,29.2,34,97.9,0.475,100,75,"rain,snow",,,,12.8,235.5,1014.7,87.2,2.6,,,,,1998-11-05T06:55:20,1998-11-05T16:42:35,0.55,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"72793024233,72793524234,72788324220,72781524237"
"47.4219,-121.4217",1998-11-06,35.5,27.8,31.5,31.5,23.9,27.7,29.5,92.1,0.127,100,16.67,"rain,snow",,,,9.6,99.3,1012.8,53.1,9.3,,,,,1998-11-06T06:56:50,1998-11-06T16:41:09,0.59,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,rain,"72793024233,72793524234,72788324220,72781524237"
"47.4219,-121.4217",1998-11-07,36.7,29.7,32.5,32.7,21.7,26.6,30.5,92.3,0,0,0,,,,,11.2,48.4,1011.2,90.6,8.4,,,,,1998-11-07T06:58:21,1998-11-07T16:39:46,0.62,Overcast,Cloudy skies throughout the day.,cloudy,"72793024233,72788324220,72793524234,72781524237"
"47.4219,-121.4217",1998-11-08,33.9,29.9,32.5,29.5,23.2,26.8,31.4,95.8,0.04,100,12.5,"rain,snow",,,,7.4,227.3,1013.8,81.7,1.9,,,,,1998-11-08T06:59:52,1998-11-08T16:38:24,0.65,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,rain,"72793024233,72793524234,72788324220,72781524237"
"47.4219,-121.4217",1998-11-09,34.6,31.8,33.4,34.5,27.1,30.6,31.3,92,0.048,100,20.83,"rain,snow",,2,,7,204.9,1017.4,95.4,2.9,,,,,1998-11-09T07:01:22,1998-11-09T16:37:04,0.69,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"72793024233,72793524234,72788324220,72781524237"
"47.4219,-121.4217",1998-11-10,36.2,31.2,32.4,31.8,23.8,27.4,30.2,91.4,0.136,100,12.5,"rain,snow",,2,,8.9,80.7,1014.8,91.8,4,,,,,1998-11-10T07:02:52,1998-11-10T16:35:46,0.75,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"72793024233,72793524234,72788324220,72781524237"
"47.4219,-121.4217",1998-11-11,37.2,31,33.9,37.2,25.7,31.1,32.6,94.8,0.134,100,75,"rain,snow",,3.5,,5.9,223.9,1020.6,99.7,3.9,,,,,1998-11-11T07:04:23,1998-11-11T16:34:30,0.75,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"72793024233,72793524234,72788324220,72781524237"
"47.4219,-121.4217",1998-11-12,41.9,33.9,37.4,38.8,28.4,32.9,33.2,85.1,0.947,100,79.17,"rain,snow",,,,10.2,227.8,1019.6,95.7,4.5,,,,,1998-11-12T07:05:52,1998-11-12T16:33:15,0.79,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"72793024233,72788324220,72793524234,72781524237"
"47.4219,-121.4217",1998-11-13,44.1,39.4,42.4,41.7,32.6,38,32.9,69.1,3.688,100,100,rain,,,,11.5,232.8,1015.9,93.1,1.5,,,,,1998-11-13T07:07:22,1998-11-13T16:32:03,0.82,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72793024233,72788324220,72793524234,72781524237"
"47.4219,-121.4217",1998-11-14,44,39,41.7,42.3,35.3,39.2,33.6,72.6,0.358,100,45.83,rain,,,,7.8,135.3,1012.2,92.5,4.4,,,,,1998-11-14T07:08:51,1998-11-14T16:30:53,0.85,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72793024233,72793524234,72788324220,72781524237"
