name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"47.4219,-121.4217",2017-11-01,41.1,34.9,37.8,36.3,29.6,32.7,33,82.9,0.385,100,50,"rain,snow",2.1,0.7,29.5,11.6,217.7,1008,86.1,5.2,40.2,3.3,2,,2017-11-01T07:49:51,2017-11-01T17:47:56,0.42,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"KSEA,KSMP,KBFI,72793494248,KRNT,72781524237"
"47.4219,-121.4217",2017-11-02,37.1,30,33.8,35.3,22.6,30.1,32.1,93.4,0.397,100,66.67,"rain,snow",2,3.3,25.7,13.5,164.5,1006,86,3,24.1,2.1,1,,2017-11-02T07:51:22,2017-11-02T17:46:24,0.45,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"KSEA,KSMP,KBFI,72793494248,KRNT,72781524237"
"47.4219,-121.4217",2017-11-03,32.7,28.2,30.2,32.7,25.8,29.7,27.9,91.3,0.17,100,54.17,"rain,snow",1.5,4.7,19.7,4,15,1011.6,77.7,5.3,75.9,6.6,4,,2017-11-03T07:52:52,2017-11-03T17:44:55,0.5,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"KSEA,KSMP,KBFI,72793494248,KRNT,72781524237"
"47.4219,-121.4217",2017-11-04,29.7,27.5,28.4,29.3,19.5,25.3,26.6,92.8,0.169,100,45.83,"rain,snow",0.9,4.2,19.2,8.9,158.3,1012.9,87.5,4.3,58.6,5,3,,2017-11-04T07:54:23,2017-11-04T17:43:26,0.52,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"KSEA,KSMP,KBFI,72793494248,KRNT,72781524237"
"47.4219,-121.4217",2017-11-05,28.7,25.8,27.1,28.7,19,22.6,25.1,92.1,0.896,100,91.67,"rain,snow",15.6,9,22.8,6.9,13.1,1010.2,90,2,41.5,3.7,2,,2017-11-05T06:55:53,2017-11-05T16:42:00,0.55,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"KSEA,KSMP,KBFI,72793494248,KRNT,72781524237"
"47.4219,-121.4217",2017-11-06,30.6,23.1,27,29.5,16.1,23.5,24.1,88.7,0,0,0,,0,10,24.6,5.6,349.4,1023.8,77.6,7.2,93.5,8,4,,2017-11-06T06:57:24,2017-11-06T16:40:35,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KSEA,KSMP,KBFI,72793494248,KRNT,72781524237"
"47.4219,-121.4217",2017-11-07,27.3,23.7,25.4,20.6,15.6,17.7,21.9,86.5,0,0,0,,0,9.3,31.5,9.3,50.8,1024.2,83.7,7.8,49.6,4.3,2,,2017-11-07T06:58:55,2017-11-07T16:39:12,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KSEA,KSMP,KBFI,72793494248,KRNT,72781524237"
"47.4219,-121.4217",2017-11-08,32.4,26.8,29.2,26.3,18.7,22.1,25.5,86.1,0.06,100,25,"rain,snow",2,9.4,38.3,11.2,54.4,1014.6,90.8,7,57.8,5.1,3,,2017-11-08T07:00:25,2017-11-08T16:37:51,0.66,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"KSEA,KSMP,KBFI,72793494248,KRNT,72781524237"
"47.4219,-121.4217",2017-11-09,36.6,31.3,33.2,36.6,25.3,30.5,31.3,93,0.475,100,70.83,"rain,snow",1.5,11.2,34.4,7.6,32.7,1009,93.5,2.8,33.5,2.9,2,,2017-11-09T07:01:56,2017-11-09T16:36:32,0.7,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"KSEA,KSMP,KBFI,72793494248,KRNT,72781524237"
"47.4219,-121.4217",2017-11-10,37,31.7,34.1,37,27.5,33.1,32.8,94.9,0.01,100,4.17,"rain,snow",0,10.2,14.8,4.3,19.3,1012.6,69.5,3.3,57.6,5.1,3,,2017-11-10T07:03:26,2017-11-10T16:35:15,0.75,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,rain,"72793024233,KSEA,KSMP,KBFI,72793524234,72793494248,KRNT,72781524237"
