name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"47.4219,-121.4217",1995-11-01,34.7,24.5,28.6,27.8,14.1,19.1,13.6,53.4,0,0,0,,,,,12.9,75.4,1024.5,0.4,11.3,,,,,1995-11-01T06:48:53,1995-11-01T16:48:58,0.31,Clear,Clear conditions throughout the day.,clear-day,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1995-11-02,48.8,22.3,31.3,45.3,13.8,25.2,16.1,55,0,0,0,,,,,9.7,60.6,1027.1,26.7,12.1,,,,,1995-11-02T06:50:24,1995-11-02T16:47:26,0.34,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1995-11-03,41,27.1,33.5,36.8,19.4,27.5,14.4,46.5,0,0,0,,,,,9.9,78.2,1028,48.1,10.2,,,,,1995-11-03T06:51:54,1995-11-03T16:45:55,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1995-11-04,45.9,29.8,32.8,40,20.3,24.9,22.1,66.7,0,0,0,,,,,16,158.4,1013.4,80.6,7.8,,,,,1995-11-04T06:53:25,1995-11-04T16:44:26,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1995-11-05,45.9,30.9,32.5,39,18.7,22.8,31.7,96.8,0.005,100,8.33,"rain,snow",,,,19.9,245.5,1010.9,99.2,3.4,,,,,1995-11-05T06:54:56,1995-11-05T16:42:58,0.45,"Snow, Rain, Overcast",Cloudy skies throughout the day with afternoon rain or snow.,rain,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1995-11-06,47.9,28.3,36,46.9,18.1,30,33.5,91.1,0.142,100,20.83,rain,,,,15.8,222,1016.8,99.1,7,,,,,1995-11-06T06:56:26,1995-11-06T16:41:32,0.5,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1995-11-07,56,29.8,43.9,56,22.1,38.2,43.3,97.8,0.822,100,100,"rain,snow",,,,23.7,214.7,1013.2,99.8,3.4,,,,,1995-11-07T06:57:57,1995-11-07T16:40:08,0.52,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1995-11-08,56.9,30.9,45.4,56.9,19.6,40.1,43.5,93.2,0.262,100,54.17,rain,,,,23,222.4,1005,98.7,7.4,,,,,1995-11-08T06:59:28,1995-11-08T16:38:46,0.55,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1995-11-09,47.9,28.4,31.9,42.8,17.2,22.2,29.7,92,0,0,0,,,3.9,,19.2,236.8,1012.1,94.6,6,,,,,1995-11-09T07:00:58,1995-11-09T16:37:25,0.58,Overcast,Cloudy skies throughout the day.,cloudy,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1995-11-10,30.7,25.5,28.1,28.8,14.2,20.1,27.1,96.3,0.048,100,45.83,"rain,snow",,7.5,,13.3,121.5,1014.6,99.6,3.4,,,,,1995-11-10T07:02:29,1995-11-10T16:36:07,0.61,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"72793024233,72793524234,72781524237"
