name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"47.4219,-121.4217",1999-11-01,53.5,27,31.9,53.5,16.3,22.8,22.6,70,0,0,0,,,,,18.3,68.2,1032.8,2.7,9.9,,,,,1999-11-01T06:48:55,1999-11-01T16:48:55,0.78,Clear,Clear conditions throughout the day.,clear-day,"72793024233,72793524234,72788324220,72781524237"
"47.4219,-121.4217",1999-11-02,38.9,28,33.2,33.1,20.3,26.8,23,66,0,0,0,,,,,9.7,71.5,1023.4,3.5,9.9,,,,,1999-11-02T06:50:25,1999-11-02T16:47:22,0.81,Clear,Clear conditions throughout the day.,clear-day,"72793024233,72793524234,72788324220,72781524237"
"47.4219,-121.4217",1999-11-03,42.2,30.5,35.6,37.6,22.9,29.1,29.3,78.2,0.446,100,37.5,"rain,snow",,,,21.9,193.2,1015.6,67.9,8.6,,,,,1999-11-03T06:51:56,1999-11-03T16:45:52,0.85,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"72793024233,72793524234,72788324220,72781524237"
"47.4219,-121.4217",1999-11-04,35.6,27.4,31.2,35.5,20.2,24.3,26.1,82.4,0.202,100,25,"rain,snow",,,,15.7,269.1,1019.9,47.8,7.7,,,,,1999-11-04T06:53:26,1999-11-04T16:44:23,0.88,"Snow, Rain, Partially cloudy",Clearing in the afternoon with rain or snow clearing later.,rain,"72793024233,72793524234,72788324220,72781524237"
"47.4219,-121.4217",1999-11-05,35.7,26.9,31.1,30,18.5,23.4,26.1,82.4,0.362,100,25,"rain,snow",,1.2,,11.9,87.3,1016,54.8,7.6,,,,,1999-11-05T06:54:57,1999-11-05T16:42:55,0.92,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain,"72793024233,72793524234,72788324220,72781524237"
"47.4219,-121.4217",1999-11-06,44.4,32.2,37.2,39.6,24.4,31.6,36.7,98,0.271,100,29.17,"rain,snow",,1.2,,11.1,80.3,1015,83.9,2,,,,,1999-11-06T06:56:28,1999-11-06T16:41:29,0.95,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,"72793024233,72793524234,72788324220,72781524237"
"47.4219,-121.4217",1999-11-07,48.4,38.4,42.9,48.4,34,40.7,38.8,85.7,0,0,0,,,,,8.3,101.6,1009.5,13.2,9.1,,,,,1999-11-07T06:57:58,1999-11-07T16:40:05,0,Clear,Clear conditions throughout the day.,clear-day,"72793024233,72793524234,72788324220,72781524237"
"47.4219,-121.4217",1999-11-08,44.6,37.1,41.2,43.1,31.6,37.7,38.6,90.7,0.146,100,50,rain,,,,12.5,236.1,1007.9,88.9,7.3,,,,,1999-11-08T06:59:29,1999-11-08T16:38:43,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72793024233,72793524234,72788324220,72781524237"
"47.4219,-121.4217",1999-11-09,39.7,35.5,37.7,35.9,28.1,31.7,36.5,95.5,0.254,100,83.33,"rain,snow",,,,13.6,111.9,1010,99.4,4.9,,,,,1999-11-09T07:00:59,1999-11-09T16:37:22,0.06,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"72793024233,72793524234,72788324220,72781524237"
"47.4219,-121.4217",1999-11-10,40.9,35.8,39.2,40.4,30,36.6,38.4,97.1,0.224,100,79.17,rain,,,,7.6,142.7,1011.2,95.7,5.2,,,,,1999-11-10T07:02:30,1999-11-10T16:36:04,0.09,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72793024233,72793524234,72788324220,72781524237"
"47.4219,-121.4217",1999-11-11,46.5,38.6,41.9,44.8,31.5,36.7,41.7,99,0.691,100,83.33,rain,,,,11.9,98.6,1012.8,98.5,1.5,,,,,1999-11-11T07:04:00,1999-11-11T16:34:47,0.12,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72793024233,72793524234,72788324220,72781524237"
"47.4219,-121.4217",1999-11-12,48.1,40.5,45.2,48.1,35.7,43.2,44.9,99,1.432,100,100,rain,,,,7.8,340.2,1015.6,99.3,1.8,,,,,1999-11-12T07:05:30,1999-11-12T16:33:32,0.15,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72793024233,72793524234,72788324220,72781524237"
"47.4219,-121.4217",1999-11-13,51.1,43.6,47.4,51.1,41.1,46.8,46.8,97.9,0.373,100,70.83,rain,,,,8.5,254.6,1019.1,96.2,5,,,,,1999-11-13T07:07:00,1999-11-13T16:32:20,0.19,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72793024233,72793524234,72788324220,72781524237"
"47.4219,-121.4217",1999-11-14,51.7,45.2,47.8,51.7,40.1,45.3,46.3,94.8,0.01,100,4.17,rain,,,,10.9,71.4,1019.2,37.5,6,,,,,1999-11-14T07:08:29,1999-11-14T16:31:09,0.22,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"72793024233,72793524234,72788324220,72781524237"
"47.4219,-121.4217",1999-11-15,49.1,42.1,45.2,47.9,37.4,42,42.8,91.9,0.049,100,25,rain,,,,11.8,93.8,1015.1,54.4,6.6,,,,,1999-11-15T07:09:58,1999-11-15T16:30:01,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72793024233,72793524234,72788324220,72781524237"
