name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"47.4219,-121.4217",1991-11-01,43.5,22.9,26.7,38.8,10.7,16.6,20.1,76.2,0.075,100,20.83,"rain,snow",,,,13.5,86.5,1029.9,100,4.4,,,,,1991-11-01T06:48:51,1991-11-01T16:49:00,0.83,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,rain,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1991-11-02,25.3,17.7,21.5,13.2,3.8,8.2,8.7,57.6,0,0,0,,,,,19.2,89.6,1031.5,62.1,30.5,,,,,1991-11-02T06:50:22,1991-11-02T16:47:27,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1991-11-03,29.5,22,25.5,20.5,9.3,15.4,14.9,63.9,0.003,100,12.5,snow,,,,13.7,89,1029.1,98.1,18.2,,,,,1991-11-03T06:51:52,1991-11-03T16:45:57,0.91,"Snow, Overcast",Cloudy skies throughout the day with late afternoon snow.,snow,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1991-11-04,43.8,27.4,38.9,43.5,18.1,34.1,34.6,84.4,0.808,100,79.17,"rain,snow",,,,17.3,222,1023.5,99.5,2,,,,,1991-11-04T06:53:23,1991-11-04T16:44:27,0.94,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"72793024233,72793524234,72788324220,72781524237"
"47.4219,-121.4217",1991-11-05,49.2,38.1,43.5,43.2,33.2,38.3,38.8,83.2,1.197,100,62.5,rain,,,,20.6,242.3,1019,99.2,3.9,,,,,1991-11-05T06:54:54,1991-11-05T16:43:00,0.98,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1991-11-06,46,35.8,39.7,46,28.1,35.3,32.7,76.5,0,0,0,,,,,11.7,205.2,1021.9,94,21.3,,,,,1991-11-06T06:56:24,1991-11-06T16:41:34,0,Overcast,Cloudy skies throughout the day.,cloudy,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1991-11-07,37.2,32.9,35.2,31.5,24.5,27.8,31.2,85.1,0.134,100,25,"rain,snow",,,,13,93.8,1020.8,97.3,4.8,,,,,1991-11-07T06:57:55,1991-11-07T16:40:10,0.04,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow clearing later.,rain,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1991-11-08,45.9,35.6,43.3,45.9,29.1,38.9,39.2,85.3,0.426,100,79.17,rain,,,,15.4,255.3,1016.6,97.3,8.4,,,,,1991-11-08T06:59:26,1991-11-08T16:38:47,0.08,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1991-11-09,42.7,38.6,40.2,42.7,33,37.5,35.6,83.7,0.128,100,33.33,rain,,,,8.1,230.8,1022.2,91.5,9.8,,,,,1991-11-09T07:00:56,1991-11-09T16:37:27,0.11,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1991-11-10,43.6,36.8,40.4,43.6,30.2,36.9,36.1,84.7,0.055,100,20.83,rain,,,,10.7,190.5,1022.3,97.8,7.1,,,,,1991-11-10T07:02:27,1991-11-10T16:36:08,0.14,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1991-11-11,46.4,35.8,40.1,41,28.5,34.2,35.9,84.8,0.987,100,70.83,rain,,,,16.9,195.5,1017.6,100,4.3,,,,,1991-11-11T07:03:57,1991-11-11T16:34:51,0.17,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1991-11-12,44.6,36.7,41.6,40.4,29.7,35.7,35.8,79.9,0.564,100,62.5,rain,,,,19,253.1,1015.7,93.6,4.3,,,,,1991-11-12T07:05:27,1991-11-12T16:33:36,0.21,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1991-11-13,35.2,31.7,34,29,25,26.8,28.8,81.2,0.414,100,70.83,"rain,snow",,,,15.1,254.3,1014.4,95.6,5.3,,,,,1991-11-13T07:06:57,1991-11-13T16:32:24,0.24,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1991-11-14,34.3,28.3,31.8,33.9,22.9,27.1,27.2,82.9,0.029,100,12.5,"rain,snow",,,,6.9,252.3,1021.6,64.5,6,,,,,1991-11-14T07:08:26,1991-11-14T16:31:13,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1991-11-15,34.4,26.9,30.4,27.6,20.2,23.3,24.5,78.7,0,0,0,,,,,12.8,88.3,1021.2,67,29.9,,,,,1991-11-15T07:09:55,1991-11-15T16:30:04,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,72793524234,72788324220,72781524237"
"47.4219,-121.4217",1991-11-16,31.8,27.7,29.2,24.6,17.5,19.3,24.2,81.6,0.857,100,66.67,"rain,snow",,,,16.6,95.1,1003.6,99,4,,,,,1991-11-16T07:11:24,1991-11-16T16:28:58,0.33,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1991-11-17,36.4,33.1,34.6,33.7,24.8,29.4,29.6,82,0.217,100,66.67,"rain,snow",,,,13.4,245.4,1001.2,91.9,9,,,,,1991-11-17T07:12:52,1991-11-17T16:27:53,0.37,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1991-11-18,34.6,31.8,33.6,34.1,25.3,28,28.5,81.5,0.566,100,75,"rain,snow",,,,8.6,245.9,1015.9,98.4,7.6,,,,,1991-11-18T07:14:19,1991-11-18T16:26:51,0.4,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"72793024233,72793524234,72788324220,72781524237"
"47.4219,-121.4217",1991-11-19,51.1,31.8,34.7,51.1,22.7,28,31.1,86.6,2.367,100,95.83,"rain,snow",,,,13.2,109.1,1016.4,100,3.3,,,,,1991-11-19T07:15:46,1991-11-19T16:25:51,0.43,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"72793024233,72793524234,72788324220,72781524237"
"47.4219,-121.4217",1991-11-20,46.4,30.8,33.8,42.5,22,26.1,32.1,93.2,1.107,100,70.83,"rain,snow",,,,19.3,245.8,1018.2,91.8,4.8,,,,,1991-11-20T07:17:13,1991-11-20T16:24:54,0.46,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1991-11-21,31.2,29.7,30.2,29.9,21.9,25,28.3,92.5,0.447,100,54.17,"rain,snow",,,,8.7,246.2,1028.6,93.5,5.8,,,,,1991-11-21T07:18:38,1991-11-21T16:23:58,0.5,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"72793024233,72793524234,72788324220,72781524237"
"47.4219,-121.4217",1991-11-22,47,24.6,30.5,43.2,15.1,24.5,25,82,0,0,0,,,,,18.2,91.5,1033,51.6,24.7,,,,,1991-11-22T07:20:03,1991-11-22T16:23:06,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1991-11-23,47.5,27.2,34.2,44.7,17.4,27.1,28.7,82.9,0.168,100,33.33,"rain,snow",,2,,14.9,107.2,1027.9,99.6,7.4,,,,,1991-11-23T07:21:27,1991-11-23T16:22:15,0.57,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1991-11-24,53,30.2,37,53,22.3,31.8,35.4,94,0.662,100,91.67,"rain,snow",,21.7,,15.5,125.5,1022.6,100,2.1,,,,,1991-11-24T07:22:50,1991-11-24T16:21:27,0.6,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1991-11-25,53,33,40,53,26.5,35.1,38.1,93,1.554,100,87.5,"rain,snow",,22.4,,15.5,216,1017.2,98.6,5.4,,,,,1991-11-25T07:24:12,1991-11-25T16:20:42,0.64,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1991-11-26,48.4,30.1,35.8,45,21.7,30.5,33.7,92,0.726,100,66.67,"rain,snow",,21.7,,11.8,124.7,1014.8,99.8,6.8,,,,,1991-11-26T07:25:33,1991-11-26T16:19:59,0.67,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1991-11-27,31.1,28.7,30,23.3,20,21.6,28.2,92.9,0.273,100,41.67,"rain,snow",,,,12.2,241.9,1023,95.1,3.1,,,,,1991-11-27T07:26:53,1991-11-27T16:19:19,0.71,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1991-11-28,35.3,28.1,30.6,23.9,17.4,20.4,28.8,92.9,0.935,100,62.5,"rain,snow",,,,23.8,256.9,1023.2,82.1,3,,,,,1991-11-28T07:28:12,1991-11-28T16:18:41,0.75,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1991-11-29,29.2,23.2,26.6,21.4,15,18.2,23.5,87.8,0,0,0,,,,,14.4,257.3,1030.5,48.2,11.9,,,,,1991-11-29T07:29:30,1991-11-29T16:18:06,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1991-11-30,41.6,22.4,26.7,35.8,12.4,18.3,24.1,90,0.03,100,12.5,"rain,snow",,,,12,238.5,1031,97.2,10.3,,,,,1991-11-30T07:30:46,1991-11-30T16:17:34,0.81,"Snow, Rain, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.,rain,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1991-12-01,41.4,31.4,35.9,36.4,20.2,25.5,33.8,92.3,1.189,100,83.33,"rain,snow",,,,28.4,248.5,1022.7,99.2,2.3,,,,,1991-12-01T07:32:01,1991-12-01T16:17:05,0.85,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1991-12-02,47.5,31.4,32.7,44,21.2,24.2,30.8,92.7,0.381,100,79.17,"rain,snow",,,,16.3,244,1026.5,99,3.3,,,,,1991-12-02T07:33:14,1991-12-02T16:16:38,0.88,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1991-12-03,37.8,34.8,36.3,36.9,24.8,30.3,34.8,94.3,0.214,100,45.83,"rain,snow",,,,18.5,247.9,1025.1,100,4.2,,,,,1991-12-03T07:34:26,1991-12-03T16:16:14,0.92,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1991-12-04,38.8,33.8,37,37.5,27.5,31.5,35.2,93.1,0.552,100,66.67,"rain,snow",,,,16.4,247.4,1016.4,99.2,4.9,,,,,1991-12-04T07:35:36,1991-12-04T16:15:53,0.95,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"72793024233,72793524234,72788324220,72781524237"
"47.4219,-121.4217",1991-12-05,40.5,33.9,37.1,40.5,26.8,31.7,35,92.1,1.809,100,91.67,"rain,snow",,,,22.1,233.5,1007.6,96.7,3.1,,,,,1991-12-05T07:36:45,1991-12-05T16:15:34,0,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"72793024233,72793524234,72781524237"
