name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"47.4219,-121.4217",2020-11-01,48.6,34.7,40.5,47.6,30,37.7,30.6,68.4,0,0,0,,0,0,25.7,6.1,354.8,1026.9,0.1,9.9,0.3,0,0,,2020-11-01T06:50:17,2020-11-01T16:47:32,0.54,Clear,Clear conditions throughout the day.,clear-day,"SNO30,KSEA,KSMP,KBFI,ESS38,72793494248,KRNT,72781524237"
"47.4219,-121.4217",2020-11-02,50.9,36,42.9,50.9,32.5,41.1,32.2,66.6,0,0,0,,0,0,20.4,5.8,96.2,1021.9,1.2,9.9,1.3,0,0,,2020-11-02T06:51:48,2020-11-02T16:46:01,0.58,Clear,Clear conditions throughout the day.,clear-day,"KSEA,SNO30,KSMP,ESS38,KBFI,72793494248,KRNT,72781524237"
"47.4219,-121.4217",2020-11-03,51.7,39.8,45.7,51.7,39.5,45.2,40.9,83.6,1.85,100,66.67,rain,0,0,39.6,6.7,110.9,1014.5,68.4,5.1,0.6,0,0,,2020-11-03T06:53:18,2020-11-03T16:44:31,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KSEA,SNO30,KSMP,ESS38,KBFI,72793494248,KRNT,72781524237"
"47.4219,-121.4217",2020-11-04,58.1,51,52.6,58.1,51,52.6,48.3,85.2,0.294,100,62.5,rain,0,0,40.5,15.4,191.5,1017.5,95.1,8,1.1,0,0,,2020-11-04T06:54:49,2020-11-04T16:43:04,0.64,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"SNO30,KSEA,KSMP,KBFI,72793494248,KRNT,72781524237"
"47.4219,-121.4217",2020-11-05,51.3,35.7,41.7,51.3,32,38.5,38.9,89.7,1.346,100,79.17,rain,0,0.1,46.8,13.5,251,1015.9,99.1,4.1,1.2,0,0,,2020-11-05T06:56:20,2020-11-05T16:41:38,0.68,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"SNO30,KSEA,KSMP,KBFI,72793494248,KRNT,72781524237"
"47.4219,-121.4217",2020-11-06,37.8,32.9,35.7,37.4,27.1,33,32.5,88.1,0.072,100,8.33,rain,0.2,0.3,26.5,6.8,0.1,1009.7,93.6,2.5,1,0,0,,2020-11-06T06:57:50,2020-11-06T16:40:13,0.71,"Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,snow,"SNO30,KSEA,KSMP,KBFI,72793494248,KRNT,72781524237"
"47.4219,-121.4217",2020-11-07,40.7,27.6,30.9,35.9,21.8,26,27.4,86.7,0.02,100,8.33,"rain,snow",0,0.2,31.1,7.3,22.7,1005.5,92.2,2.6,0.7,0,0,,2020-11-07T06:59:21,2020-11-07T16:38:51,0.75,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"SNO30,KSEA,KSMP,KBFI,ESS38,72793494248,KRNT,72781524237"
"47.4219,-121.4217",2020-11-08,47,25,28.6,42.6,18.8,24.2,22.9,79.5,0,0,0,"rain,snow",0.1,0.2,24.2,9.4,311,1014.6,50,8.3,0.8,0,0,,2020-11-08T07:00:51,2020-11-08T16:37:30,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KSEA,SNO30,KSMP,KBFI,ESS38,72793494248,KRNT,72781524237"
"47.4219,-121.4217",2020-11-09,32,25,28.5,31.4,20.7,26.6,23.1,80.4,0.101,100,20.83,"rain,snow",1.6,0.8,23.3,8.7,152.5,1020.4,63.2,8.2,1.5,0,0,,2020-11-09T07:02:22,2020-11-09T16:36:12,0.82,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,snow,"KSEA,SNO30,KSMP,KBFI,ESS38,72793494248,KRNT,72781524237"
"47.4219,-121.4217",2020-11-10,43.9,31.3,33.4,41.2,23.6,28.8,29.9,86.8,1.619,100,58.33,"rain,snow",4,2.2,28.2,10.8,276.3,1013.7,98.8,2.8,0.5,0,0,,2020-11-10T07:03:52,2020-11-10T16:34:55,0.85,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"SNO30,KSEA,KSMP,MPSW1,KBFI,ESS38,72793494248,KRNT,72781524237"
