name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"47.4219,-121.4217",2000-11-01,40.5,30.6,34.4,38.5,25.7,31,29.3,83,0,0,0,,,,,8.6,96.5,1022,49.4,8.3,,,,,2000-11-01T06:50:03,2000-11-01T16:47:45,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,72781524237"
"47.4219,-121.4217",2000-11-02,41.8,31.8,37,40.2,24.9,33.4,31.3,80.1,0,0,0,,,,,7.5,180.6,1022.3,85.6,9.9,,,,,2000-11-02T06:51:34,2000-11-02T16:46:14,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,72781524237"
"47.4219,-121.4217",2000-11-03,50.5,37.4,42,50.5,31.2,38.4,38.9,89.3,0,0,0,,,,,8.8,203.4,1022.2,53.2,8.1,,,,,2000-11-03T06:53:05,2000-11-03T16:44:44,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,72781524237"
"47.4219,-121.4217",2000-11-04,42.8,32,35.1,41.8,20.6,27.6,34.2,96.5,0.957,100,79.17,"rain,snow",,2,,20.4,248.6,1008.8,84.1,2.9,,,,,2000-11-04T06:54:35,2000-11-04T16:43:16,0.27,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"72793024233,72781524237"
"47.4219,-121.4217",2000-11-05,34,31.8,32.7,34,22.6,27.4,32.5,99.2,0.316,100,75,"rain,snow",,2.6,,12.8,236.6,1014.6,99.6,1.6,,,,,2000-11-05T06:56:06,2000-11-05T16:41:50,0.31,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"72793024233,72781524237"
"47.4219,-121.4217",2000-11-06,37.8,32.9,34.4,37.8,28.6,32.2,34.2,98.9,0.056,100,37.5,"rain,snow",,3.2,,5.9,240.6,1018.9,94.2,2.1,,,,,2000-11-06T06:57:37,2000-11-06T16:40:26,0.34,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"72793024233,72781524237"
"47.4219,-121.4217",2000-11-07,34.9,31.5,33.3,33.8,26.9,30.4,32.9,98.6,0.092,100,4.17,"rain,snow",,2,,5.7,133.8,1020.6,84.7,3.3,,,,,2000-11-07T06:59:07,2000-11-07T16:39:03,0.37,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,rain,"72793024233,72781524237"
"47.4219,-121.4217",2000-11-08,33,27.8,29.8,30.8,19.3,25.3,29.3,97.7,0.851,100,70.83,"rain,snow",,3.9,,10.1,228.3,1006.5,91.6,2.2,,,,,2000-11-08T07:00:38,2000-11-08T16:37:42,0.4,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"72793024233,72781524237"
"47.4219,-121.4217",2000-11-09,30.9,22.9,28,30.6,13,23.3,26.3,93.2,0.165,100,41.67,"rain,snow",,,,11.6,46,1007.8,89.6,6,,,,,2000-11-09T07:02:08,2000-11-09T16:36:23,0.43,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow,"72793024233,72781524237"
"47.4219,-121.4217",2000-11-10,25.5,18.2,22,19.6,6.5,11.7,16.9,80.6,0,0,0,,,,,11.6,66.4,1013.6,57.9,9.9,,,,,2000-11-10T07:03:38,2000-11-10T16:35:06,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,72781524237"
"47.4219,-121.4217",2000-11-11,26.9,17,21.5,26.9,6.2,17.2,15.8,78.8,0,0,0,,,,,9.2,97.9,1020.2,64.2,9.9,,,,,2000-11-11T07:05:08,2000-11-11T16:33:50,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,72781524237"
"47.4219,-121.4217",2000-11-12,32.8,21,24.9,32.8,10.5,18.1,21.4,86.7,0,0,0,,,,,11.1,122.4,1021.4,97.1,8.8,,,,,2000-11-12T07:06:38,2000-11-12T16:32:37,0.53,Overcast,Cloudy skies throughout the day.,cloudy,"72793024233,72781524237"
"47.4219,-121.4217",2000-11-13,25.5,21.1,22.5,14.3,10.2,12,19.5,88.1,0,0,0,,,,,13.6,75.8,1017.5,94.5,7.3,,,,,2000-11-13T07:08:08,2000-11-13T16:31:26,0.57,Overcast,Cloudy skies throughout the day.,cloudy,"72793024233,72781524237"
"47.4219,-121.4217",2000-11-14,31,20.9,25.1,31,11.4,18.9,19.2,79.1,0,0,0,,,,,8.1,58.7,1015.6,22.5,9.9,,,,,2000-11-14T07:09:37,2000-11-14T16:30:17,0.6,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72793024233,72781524237"
"47.4219,-121.4217",2000-11-15,32.9,21.6,26.8,32.9,15.1,24,20.3,77.4,0,0,0,,,3.2,,5.8,74.8,1018,0.9,9.9,,,,,2000-11-15T07:11:05,2000-11-15T16:29:10,0.64,Clear,Clear conditions throughout the day.,clear-day,"72793024233,72781524237"
"47.4219,-121.4217",2000-11-16,29.1,17.8,21.6,29.1,10.9,16.3,19.8,92.6,0,0,0,,,3.2,,7.8,70.5,1023.2,28.3,2.7,,,,,2000-11-16T07:12:34,2000-11-16T16:28:05,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,72781524237"
"47.4219,-121.4217",2000-11-17,25.5,19.8,21.5,16.5,8.3,11.9,18.8,89.2,0,0,0,,,3.2,,11.3,69.6,1026.9,13,8.5,,,,,2000-11-17T07:14:01,2000-11-17T16:27:03,0.71,Clear,Clear conditions throughout the day.,clear-day,"72793024233,72781524237"
"47.4219,-121.4217",2000-11-18,32.1,18.7,23.4,29.2,6.1,14.6,19,84,0,0,0,,,3.2,,12,69.8,1026.5,9,7.9,,,,,2000-11-18T07:15:28,2000-11-18T16:26:02,0.75,Clear,Clear conditions throughout the day.,clear-day,"72793024233,72781524237"
"47.4219,-121.4217",2000-11-19,25.5,20.7,23.1,16.1,9.9,12.6,21,91.6,0,0,0,,,3.2,,13,72.3,1026.2,28.2,5.6,,,,,2000-11-19T07:16:55,2000-11-19T16:25:04,0.78,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72793024233,72781524237"
"47.4219,-121.4217",2000-11-20,29.8,22,24.9,19.4,10,13.5,21.5,86.9,0,0,0,,,3.2,,15.6,75.2,1023.9,50.3,7.4,,,,,2000-11-20T07:18:21,2000-11-20T16:24:09,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,72781524237"
"47.4219,-121.4217",2000-11-21,32.1,22.8,26.9,24.4,11.2,17,22.9,84.9,0,0,0,,,3.2,,15.4,66,1020.9,4.5,9.1,,,,,2000-11-21T07:19:45,2000-11-21T16:23:16,0.85,Clear,Clear conditions throughout the day.,clear-day,"72793024233,72781524237"
"47.4219,-121.4217",2000-11-22,33.1,22.4,26.4,27.1,13,18.6,22.7,86.6,0,0,0,,,3.2,,8.9,90.9,1022.2,6.1,8.5,,,,,2000-11-22T07:21:10,2000-11-22T16:22:25,0.89,Clear,Clear conditions throughout the day.,clear-day,"72793024233,72781524237"
"47.4219,-121.4217",2000-11-23,33,18.1,22.3,27.5,6.7,13.6,21,94.8,0.648,100,75,"rain,snow",,,,10.2,91.3,1018.9,89.6,1.4,,,,,2000-11-23T07:22:33,2000-11-23T16:21:36,0.92,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"72793024233,72781524237"
"47.4219,-121.4217",2000-11-24,34.2,23,30.6,34.2,14.7,26.1,30.1,97.9,0.221,100,41.67,"rain,snow",,13,,9,161.3,1025.1,88.7,1.5,,,,,2000-11-24T07:23:55,2000-11-24T16:20:51,0.96,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"72793024233,72781524237"
"47.4219,-121.4217",2000-11-25,32.9,21.4,27.3,32.8,12.5,21.3,26.5,96.6,0.48,100,50,"rain,snow",,13,,9.3,94.6,1016.4,99.5,1.8,,,,,2000-11-25T07:25:16,2000-11-25T16:20:07,0,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"72793024233,72781524237"
"47.4219,-121.4217",2000-11-26,33,28.1,30.7,33,21.8,26.9,29.8,96.4,0.853,100,70.83,"rain,snow",,16.9,,9.1,160.8,1014.9,97.1,3.9,,,,,2000-11-26T07:26:37,2000-11-26T16:19:27,0.03,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"72793024233,72781524237"
"47.4219,-121.4217",2000-11-27,30.8,26.8,29.5,25.2,19.9,23.1,28.5,96.2,0.67,100,62.5,"rain,snow",,26.2,,12.3,224.5,1018.3,71.1,2.4,,,,,2000-11-27T07:27:56,2000-11-27T16:18:48,0.06,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"72793024233,72781524237"
