name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"47.4219,-121.4217",2015-11-01,42.3,35.8,39.2,41.7,30.2,35,36.2,88.9,1.179,100,95.83,rain,1,1.2,44.7,12.7,193.2,1008.4,90.1,4.5,39.7,3.6,2,,2015-11-01T06:49:05,2015-11-01T16:48:43,0.67,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"KSEA,KSMP,KBFI,72793494248,KRNT,72781524237"
"47.4219,-121.4217",2015-11-02,39.8,34.1,38,38.5,30.4,34.8,35.5,90.8,0.191,100,54.17,rain,0.3,1.2,21.3,7.7,6.9,1012.8,91.3,2.5,65.6,5.7,3,,2015-11-02T06:50:35,2015-11-02T16:47:11,0.71,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"KSEA,KSMP,KBFI,72793494248,KRNT,72781524237"
"47.4219,-121.4217",2015-11-03,36.5,31.8,33.8,34.4,27.6,30.4,31.4,91,0.009,100,16.67,"rain,snow",0,0.7,22.8,5.9,352.7,1017,76.5,2,83.4,7.2,4,,2015-11-03T06:52:06,2015-11-03T16:45:41,0.75,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"KSEA,KSMP,KBFI,72793494248,KRNT,72781524237"
"47.4219,-121.4217",2015-11-04,39.4,30.3,33.8,34.3,25.3,29.6,30,86,0,0,0,,0,0.5,20.4,7.9,173.7,1020.8,63.9,6.8,95.5,8.2,4,,2015-11-04T06:53:37,2015-11-04T16:44:12,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KSEA,KSMP,KBFI,72793494248,KRNT,72781524237"
"47.4219,-121.4217",2015-11-05,41.3,34.5,37.7,37.5,29.4,33.5,35.2,90.3,0.633,100,66.67,"rain,snow",0.3,0.7,21,9.6,263.6,1021.1,96.9,3.7,22.3,1.8,1,,2015-11-05T06:55:07,2015-11-05T16:42:44,0.81,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"KSEA,KSMP,KBFI,72793494248,KRNT,72781524237"
"47.4219,-121.4217",2015-11-06,45.7,35.1,40.6,45.7,32.7,39.4,37.6,89,0.001,100,4.17,rain,0,0.6,18.3,5,109.8,1025.8,97.9,3.1,61,5.2,3,,2015-11-06T06:56:38,2015-11-06T16:41:19,0.84,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"KSEA,KSMP,KBFI,72793494248,KRNT,72781524237"
"47.4219,-121.4217",2015-11-07,53.1,39.1,41.3,53.1,35.5,39.3,38.7,90.6,0.259,100,62.5,rain,0,0.4,31.8,5.6,132.6,1015.1,99.3,2.2,19.9,1.8,1,,2015-11-07T06:58:08,2015-11-07T16:39:55,0.87,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KSEA,KSMP,KBFI,72793494248,KRNT,72781524237"
"47.4219,-121.4217",2015-11-08,42.3,35.2,38.6,42.3,33.3,37.6,35.7,89.3,0.24,100,58.33,rain,0,0.5,21.9,5.7,102,1009.5,93.7,5.9,71,6.1,3,,2015-11-08T06:59:39,2015-11-08T16:38:33,0.9,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KSEA,KSMP,KBFI,72793494248,KRNT,72781524237"
"47.4219,-121.4217",2015-11-09,37.6,33,35.7,37.2,28,33.4,33.5,91.6,0.103,100,54.17,"rain,snow",0.6,0.7,15.4,5.5,352.4,1013.6,95.1,2,57.2,5,3,,2015-11-09T07:01:09,2015-11-09T16:37:13,0.94,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"KSEA,KSMP,KBFI,72793494248,KRNT,72781524237"
"47.4219,-121.4217",2015-11-10,52.6,30.9,35.2,52.6,25.2,30.1,32,88.2,0.029,100,16.67,"rain,snow",0.4,0.4,26.4,9.1,199,1021.9,91.2,4.5,77.3,6.6,4,,2015-11-10T07:02:40,2015-11-10T16:35:54,0.97,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"KSEA,KSMP,KBFI,72793494248,KRNT,72781524237"
