name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"47.4219,-121.4217",1994-11-01,30,28.7,29.3,22.9,18.1,20.3,27.8,94,0,0,0,,,,,13.8,241.8,1006.8,98.9,3.3,,,,,1994-11-01T06:49:15,1994-11-01T16:48:34,0.94,Overcast,Cloudy skies throughout the day.,cloudy,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1994-11-02,44.4,26.8,30.4,42.5,20.8,25,28.6,93.4,0.019,100,20.83,"rain,snow",,,,9.5,238.5,1014.7,94.8,2.3,,,,,1994-11-02T06:50:45,1994-11-02T16:47:02,0.98,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow in the morning and afternoon.,rain,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1994-11-03,29,25.2,27.5,28.9,17.4,22,25.9,93.5,0,0,0,,,,,8.8,230.6,1017.8,93.1,4.5,,,,,1994-11-03T06:52:16,1994-11-03T16:45:32,0,Overcast,Cloudy skies throughout the day.,cloudy,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1994-11-04,31.4,26.1,28.3,24.7,17.2,21,27.4,96.4,0.025,100,33.33,snow,,,,12.4,214.5,1006.5,91.2,1.5,,,,,1994-11-04T06:53:46,1994-11-04T16:44:03,0.04,"Snow, Overcast",Cloudy skies throughout the day with snow clearing later.,snow,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1994-11-05,29,21.5,26.1,26.5,13.2,18.3,23.8,91.1,0,0,0,,,,,12.3,90.7,1013,35.7,5.6,,,,,1994-11-05T06:55:17,1994-11-05T16:42:36,0.08,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1994-11-06,30.1,26.1,28.2,29.1,14.1,19.6,27.2,96.1,0.01,100,16.67,snow,,,,15.3,143.6,1011.5,97.4,2.2,,,,,1994-11-06T06:56:48,1994-11-06T16:41:11,0.11,"Snow, Overcast",Cloudy skies throughout the day with morning snow.,snow,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1994-11-07,45.5,29.4,33,41.1,19.9,26.6,32,96.4,0,0,0,,,,,12,242.4,1019.9,94.4,3.3,,,,,1994-11-07T06:58:18,1994-11-07T16:39:47,0.14,Overcast,Cloudy skies throughout the day.,cloudy,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1994-11-08,44.9,28.9,32.2,40.5,16.4,25.8,30.9,95.1,0.017,100,33.33,"rain,snow",,,,18.3,137.2,1009.8,95,3,,,,,1994-11-08T06:59:49,1994-11-08T16:38:25,0.18,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1994-11-09,44.9,30.8,34.6,43.2,19.6,27.8,34,97.6,0.019,100,50,"rain,snow",,,,16.6,111.4,1003.5,94.8,2.1,,,,,1994-11-09T07:01:20,1994-11-09T16:37:05,0.25,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"72793024233,72793524234,72781524237"
"47.4219,-121.4217",1994-11-10,42.1,31.3,33.7,38.8,25.1,28.4,32.9,97,0.002,100,8.33,"rain,snow",,,,8.8,247,1015.5,97.7,1.8,,,,,1994-11-10T07:02:50,1994-11-10T16:35:47,0.25,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,rain,"72793024233,72793524234,72781524237"
