name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"47.4219,-121.4217",2019-11-01,44.7,29.2,35.9,41.5,24.2,31.5,19.6,51.6,0,0,0,,0,0,20.8,11.2,351.2,1031.9,1.5,9.9,0.9,0,0,,2019-11-01T07:49:08,2019-11-01T17:48:41,0.15,Clear,Clear conditions throughout the day.,clear-day,"KSEA,SNO30,KSMP,KBFI,ESS38,72793494248,KRNT,72781524237"
"47.4219,-121.4217",2019-11-02,56.7,32.5,44.4,56.7,28.7,43.4,33.4,66,0,0,0,,0,0,18.8,7.9,353.6,1026.7,12.4,9.7,1.3,0,0,,2019-11-02T07:50:39,2019-11-02T17:47:09,0.18,Clear,Clear conditions throughout the day.,clear-day,"KSEA,SNO30,KSMP,KBFI,ESS38,72793494248,KRNT,72781524237"
"47.4219,-121.4217",2019-11-03,56,36.7,46.1,56,34.9,45.9,39.6,78.4,0,0,0,,0,0,13.9,7.5,0.8,1023.6,6.9,9.4,0.8,0,0,,2019-11-03T06:52:09,2019-11-03T16:45:39,0.22,Clear,Clear conditions throughout the day.,clear-day,"KSEA,SNO30,KBFI,ESS38,72793494248,KRNT"
"47.4219,-121.4217",2019-11-04,54.2,40.6,45.5,54.2,37.5,43.6,38.4,76.5,0,0,0,,0,0,13.2,6.8,306.3,1022.8,10.1,9.3,0.7,0,0,,2019-11-04T06:53:40,2019-11-04T16:44:10,0.25,Clear,Clear conditions throughout the day.,clear-day,"KSEA,SNO30,KSMP,KBFI,ESS38,72793494248,KRNT,72781524237"
"47.4219,-121.4217",2019-11-05,54,43.2,46.7,54,39.3,44.7,34.3,62.8,0,0,0,,0,0,14.1,7,250,1021.4,5.3,9.4,0.8,0,0,,2019-11-05T06:55:10,2019-11-05T16:42:42,0.28,Clear,Clear conditions throughout the day.,clear-day,"SNO30,KSEA,KSMP,KBFI,ESS38,72793494248,KRNT,72781524237"
"47.4219,-121.4217",2019-11-06,48.6,36.1,41.3,48.6,32.5,39.3,31.1,67.3,0,0,0,,0,0,22.1,5.1,17.6,1025.2,6.8,9.7,0.9,0,0,,2019-11-06T06:56:41,2019-11-06T16:41:17,0.31,Clear,Clear conditions throughout the day.,clear-day,"KSEA,SNO30,KSMP,ESS38,KBFI,72793494248,KRNT,72781524237"
"47.4219,-121.4217",2019-11-07,45.6,32.7,38.6,45.6,28.5,36.1,29.8,70.8,0,0,0,,0,0,21.9,5.3,34.3,1025.5,4.9,9.5,0.5,0,0,,2019-11-07T06:58:12,2019-11-07T16:39:53,0.35,Clear,Clear conditions throughout the day.,clear-day,"KSEA,SNO30,KSMP,ESS38,KBFI,72793494248,KRNT,72781524237"
"47.4219,-121.4217",2019-11-08,53.9,34.5,43.5,53.9,29.5,41,30.2,61.4,0,0,0,,0,0,19.7,6.8,82.1,1023.2,4.3,9.7,1.4,0,0,,2019-11-08T06:59:42,2019-11-08T16:38:31,0.38,Clear,Clear conditions throughout the day.,clear-day,"KSEA,SNO30,KSMP,ESS38,KBFI,72793494248,KRNT,72781524237"
"47.4219,-121.4217",2019-11-09,44.4,37.6,41.9,44.2,32.2,40,39.2,89.9,0.244,100,58.33,rain,0,0,16.8,7,147.6,1022.3,88.6,2.7,2.9,0,0,,2019-11-09T07:01:13,2019-11-09T16:37:11,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KSEA,SNO30,KSMP,ESS38,KBFI,72793494248,KRNT,72781524237"
"47.4219,-121.4217",2019-11-10,53.6,38.8,44.1,53.6,34.7,42.5,41.8,91.6,0,0,0,,0,0,23.7,8.3,354.2,1025.4,85.2,2.3,5.4,0,0,,2019-11-10T07:02:43,2019-11-10T16:35:52,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SNO30,KSEA,KSMP,KBFI,72793494248,KRNT,72781524237"
